product_name,category,product_type,collection,price,image_url,date_collected
CL-French Terry Hoodie Reflective,Adult,Hoodie,Solbiato Classic,155,,4/1/26
CL-French Terry Reflective Jogger,Adult,Pants,Solbiato Classic,95,,4/1/26
CL-SS Logo Polo,Adult,Polo,Solbiato Classic,115,,4/1/26
CL-Nylon Shorts,Adult,Shorts,Solbiato Classic,85,,4/1/26
Waa Pants,Adult,Pants,Solbiato Sport,62.5,,4/1/26
Supp Jacket,Adult,Jacket,Solbiato Sport,89,,4/1/26
Aura Hoodie,Adult,Hoodie,Solbiato Sport,69,,4/1/26
Aroma Shorts,Adult,Shorts,Solbiato Sport,59,,4/1/26
Kenya Shirt,Adult,T-Shirt,Solbiato Sport,101.25,,4/1/26
K-Monument Shorts,Kids,Shorts,Solbiato Kids,39,,4/1/26
K-Science Joggers,Kids,Pants,Solbiato Kids,57,,4/1/26
K-Teck Hoodie,Kids,Hoodie,Solbiato Kids,29,,4/1/26
K-Digits Joggers,Kids,Pants,Solbiato Kids,39,,4/1/26
K-Triangle Shirt,Kids,T-Shirt,Solbiato Kids,29,,4/1/26
K-Vertex Shorts,Kids,Shorts,Solbiato Kids,39,,4/1/26
K-Text Shorts,Kids,Shorts,Solbiato Kids,39,,4/1/26
Classic Skull,Accessories,Skull Cap,Solbiato Sport,55,,4/1/26
Nairobi Skull Cap,Accessories,Skull Cap,Solbiato Sport,55,,4/1/26
Solbiato Band,Accessories,Headband,Solbiato Sport,25,,4/1/26
Solbiato Final Headband,Accessories,Headband,Solbiato Sport,20,,4/1/26
