product_name,category,price,url
K-TOORA,Kids,N/A,https://solbiatosport.com/product/k-toora/
K-WARD,Kids,N/A,https://solbiatosport.com/product/k-ward/
K-TITANIC,Kids,N/A,https://solbiatosport.com/product/k-titanic/
K-BLOSSOM,Kids,N/A,https://solbiatosport.com/product/k-blossom/
K-SHOOKA,Kids,N/A,https://solbiatosport.com/product/k-shooka/
K-AJAR,Kids,N/A,https://solbiatosport.com/product/k-ajar/
K-STAMP,Kids,N/A,https://solbiatosport.com/product/k-stamp/
K-ZEPHYR,Kids,N/A,https://solbiatosport.com/product/k-zephyr/
K-JACK,Kids,N/A,https://solbiatosport.com/product/k-jack/
K-QUADRANT,Kids,N/A,https://solbiatosport.com/product/k-quadrant/
