product_name,category,product_type,collection,price,image_url,date_collected
CL-French Terry Hoodie Reflective,Adult,Hoodie,Solbiato Classic,155.0,,2026-04-01
CL-French Terry Reflective Jogger,Adult,Pants,Solbiato Classic,95.0,,2026-04-01
CL-SS Logo Polo,Adult,Polo,Solbiato Classic,115.0,,2026-04-01
CL-Nylon Shorts,Adult,Shorts,Solbiato Classic,85.0,,2026-04-01
Waa Pants,Adult,Pants,Solbiato Sport,62.5,,2026-04-01
Supp Jacket,Adult,Jacket,Solbiato Sport,89.0,,2026-04-01
Aura Hoodie,Adult,Hoodie,Solbiato Sport,69.0,,2026-04-01
Aroma Shorts,Adult,Shorts,Solbiato Sport,59.0,,2026-04-01
Kenya Shirt,Adult,T-Shirt,Solbiato Sport,101.25,,2026-04-01
K-Monument Shorts,Kids,Shorts,Solbiato Kids,39.0,,2026-04-01
K-Science Joggers,Kids,Pants,Solbiato Kids,57.0,,2026-04-01
K-Teck Hoodie,Kids,Hoodie,Solbiato Kids,29.0,,2026-04-01
K-Digits Joggers,Kids,Pants,Solbiato Kids,39.0,,2026-04-01
K-Triangle Shirt,Kids,T-Shirt,Solbiato Kids,29.0,,2026-04-01
K-Vertex Shorts,Kids,Shorts,Solbiato Kids,39.0,,2026-04-01
K-Text Shorts,Kids,Shorts,Solbiato Kids,39.0,,2026-04-01
Classic Skull,Accessories,Skull Cap,Solbiato Sport,55.0,,2026-04-01
Nairobi Skull Cap,Accessories,Skull Cap,Solbiato Sport,55.0,,2026-04-01
Solbiato Band,Accessories,Headband,Solbiato Sport,25.0,,2026-04-01
Solbiato Final Headband,Accessories,Headband,Solbiato Sport,20.0,,2026-04-01
