product_name,category,price,description_raw,url
NODDY,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/noddy/
REFLECTIVE,Accessories,N/A,Lanyard Keychain,https://solbiatosport.com/product/reflective/
NEW CLASSIC,Accessories,N/A,Lanyard Keychain,https://solbiatosport.com/product/new-classic-2/
CLASSIC,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/classic-2/
HOBB,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/hobb/
VOLA,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/vola/
L.T.,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/l-t/
RAJA,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/raja/
ODD1,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/odd1/
TELO,Accessories,N/A,Cotton Lycra Skull Cap,https://solbiatosport.com/product/telo/
