product_name,category,price_raw,url
K-CL-French Terry Sweat Top,Kids,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-cl-french-terry-sweat-top/
K-KAVIR,Kids,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-kavir/
K-CL-HOODIE TEE,Kids,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-cl-hoodie-tee/
K-CL-SLIPPY BULL TEE,Kids,Slippy Short Sleeve T-Shirt,https://solbiatosport.com/product/k-cl-slippy-bull-tee/
K-ROCKY COLORS,Kids,French Terry Zip-Neck Sweat Top,https://solbiatosport.com/product/k-rocky-colors/
K-CL-French Terry Jogger,Kids,French Terry Joggers,https://solbiatosport.com/product/k-cl-jogger/
K-BLENDER,Kids,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-blender/
K-BAY BRIDGE,Kids,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-bay-bridge/
K-GOOSE,Kids,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-goose/
K-EXIT,Kids,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-exit/
