product_name,category,price,description_raw,url
K-LASH,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-lash/
K-LOUBAT,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-loubat/
K-MATESTO,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-matesto/
K-MARD,Kids,N/A,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/k-mard/
K-PATOO,Kids,N/A,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/k-patoo/
K-KIAN,Kids,N/A,Regular Fleece Hoodie Sweat Top,https://solbiatosport.com/product/k-kian/
K-JULY,Kids,N/A,French Terry Shorts,https://solbiatosport.com/product/k-july/
K-KAMMAL,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-kammal/
K-WEX,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-wex/
K-SATURDAY,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-saturday/
