product_name,category,url
K-TOORA,Kids,https://solbiatosport.com/product/k-toora/
K-WARD,Kids,https://solbiatosport.com/product/k-ward/
K-TITANIC,Kids,https://solbiatosport.com/product/k-titanic/
K-BLOSSOM,Kids,https://solbiatosport.com/product/k-blossom/
K-SHOOKA,Kids,https://solbiatosport.com/product/k-shooka/
K-AJAR,Kids,https://solbiatosport.com/product/k-ajar/
K-STAMP,Kids,https://solbiatosport.com/product/k-stamp/
K-ZEPHYR,Kids,https://solbiatosport.com/product/k-zephyr/
K-JACK,Kids,https://solbiatosport.com/product/k-jack/
K-QUADRANT,Kids,https://solbiatosport.com/product/k-quadrant/
