product_name,category,price,description_raw,url
Socks Model #1,Accessories,,,https://solbiatosport.com/product/socks-model-1/
BULL,Accessories,,,https://solbiatosport.com/product/bull/
FLASH,Accessories,,,https://solbiatosport.com/product/flash/
LASER,Accessories,,,https://solbiatosport.com/product/laser/
BANK,Accessories,,,https://solbiatosport.com/product/bank/
SOLBIATO RETURN,Accessories,,Cotton Lycra Head Band,https://solbiatosport.com/product/solbiato-return/
Solbiato Band,Accessories,,Cotton Lycra Headband,https://solbiatosport.com/product/solbiato-band/
Solbiato Final,Accessories,,Cotton Lycra Head Band,https://solbiatosport.com/product/solbiato-final/
Sidelogo Boxers,Accessories,,Cotton Boxer-Briefs,https://solbiatosport.com/product/sidelogo-boxers/
Colorful Boxers,Accessories,,,https://solbiatosport.com/product/colorful-boxers/
Socks Model #4,Accessories,,,https://solbiatosport.com/product/socks-model-4/
TOTO,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/toto/
BUSAN,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/busan/
TREAT,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/treat/
MOOSA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/moosa/
RAANG,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/raang/
JAVAD,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/javad/
HAZY,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/hazy/
COBALT,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/cobalt/
CUPP,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/cupp/
VELLO,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/vello/
MORNING,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/morning/
ZARF,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/zarf/
FARIBA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/fariba/
PILLAR,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/pillar/
DISTRACT,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/distract/
SL-TIP,Accessories,,100% Wool Hat with Stripe,https://solbiatosport.com/product/sl-tip/
SL-TAP,Accessories,,100% Wool Hat,https://solbiatosport.com/product/sl-tap/
NEUTRAL BOXER BRIEFS,Accessories,,Cotton Stretch Boxer Briefs,https://solbiatosport.com/product/neutral-boxer-briefs/
PLUS1,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/plus1/
TIPIC,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/tipic/
PURE,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/pure/
NORTHWEST,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/northwest/
PASHA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/pasha/
MARKED,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/marked/
ROSE,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/rose/
ROOPA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/roopa/
ELEVEN,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/eleven/
ROOKA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/rooka/
TRAP,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/trap/
PIAAZ,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/piaaz/
NODDY,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/noddy/
REFLECTIVE,Accessories,,Lanyard Keychain,https://solbiatosport.com/product/reflective/
NEW CLASSIC,Accessories,,Lanyard Keychain,https://solbiatosport.com/product/new-classic-2/
CLASSIC,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/classic-2/
HOBB,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/hobb/
VOLA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/vola/
L.T.,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/l-t/
RAJA,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/raja/
ODD1,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/odd1/
TELO,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/telo/
KILID,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/kilid/
LAYUP,Accessories,,<p>Cotton Lycra Skull Cap</p>,https://solbiatosport.com/product/layup/
NAIROBI,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/nairobi/
RASOO,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/rasoo/
BEEM,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/beem/
CHINCHIN,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/chinchin/
COVER,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/cover/
KEMI,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/kemi/
FASTER,Accessories,,Skully,https://solbiatosport.com/product/faster/
PATTONI,Accessories,,Cotton Lycra Skull Cap,https://solbiatosport.com/product/pattoni/
