product_name,category,description_raw,url
COMPASS,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/compass/
JACK,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/jack/
ACT,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/act/
WAYS,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/ways/
CHAPAR,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/chapar/
METTA,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/metta/
TWELVE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/twelve/
FAANI,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/faani/
DUSK,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/dusk/
TOOKA,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/tooka/
CHERRY,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/cherry/
INKY,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/inky/
OFFICE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/office/
QUADRANT,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/quadrant/
MISHA,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/misha/
FILE,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/file/
RAFAT,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/rafat/
TOPAAZ,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/topaaz/
BACK,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/back/
BREEZY,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/breezy/
RIDER,Sport-Bottoms,Stretch Nylon Cargo Pants,https://solbiatosport.com/product/rider/
SAME,Sport-Bottoms,French Terry Cargo Pants,https://solbiatosport.com/product/same/
FLORIDA,Sport-Bottoms,Nylon Sweat Pants,https://solbiatosport.com/product/florida/
CL-Stretch Nylon Cargo Pants,Sport-Bottoms,Stretch Nylon Cargo Pants,https://solbiatosport.com/product/cl-stretch-nylon-cargo-pants/
CL-French Terry Jogger Short,Sport-Bottoms,French Terry Jogger Shorts,https://solbiatosport.com/product/cl-french-terry-jogger-short/
CL-French Terry Shorts,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/cl-french-terry-shorts/
CL-Nylon Shorts,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/cl-nylon-shorts/
HOOP,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/hoop/
DEBBI,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/debbi/
COLD,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/cold/
TASOO,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/tasoo/
TOOTOO,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/tootoo/
GEMI,Sport-Bottoms,French Terry Jogger,https://solbiatosport.com/product/gemi/
BILLION,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/billion/
BENIM,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/benim/
DELI,Sport-Bottoms,HB Fabric Joggers,https://solbiatosport.com/product/deli/
KAROON,Sport-Bottoms,HB Fabric Joggers,https://solbiatosport.com/product/karoon/
SAIN,Sport-Bottoms,HB Fabric Joggers,https://solbiatosport.com/product/sain/
SARET,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/saret/
ZEER,Sport-Bottoms,Stretch Nylon Jogger,https://solbiatosport.com/product/zeer/
DEEN,Sport-Bottoms,French Terry Cargo Pants,https://solbiatosport.com/product/deen/
CL-Heavy Nylon CARGO PANTS,Sport-Bottoms,Heavy Nylon Cargo Pants,https://solbiatosport.com/product/cl-heavy-nylon-cargo-pants/
CL-French Terry Jogger,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/cl-french-terry-jogger/
BANDOON,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/bandoon/
MIXTURE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/mixture/
SWAN,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/swan/
DIYAR,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/diyar/
MALIT,Sport-Bottoms,Stretch Nylon Jogger,https://solbiatosport.com/product/malit/
EXHAUST,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/exhaust/
HAVAZ,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/havaz/
ZIRAB,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/zirab/
EMCEE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/emcee/
BRISTOW,Sport-Bottoms,Nylon Sweat Pants,https://solbiatosport.com/product/bristow/
NIDAA,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/nidaa/
AMMAR,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/ammar/
LEVELS,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/levels/
VESPUCHI,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/vespuchi/
R.J.,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/r-j/
REBOUND,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/rebound/
