product_name,category,product_type,collection,price,image_url,date_collected
CL-French Terry Hoodie Reflective,Adult,Hoodie,Solbiato Classic,155,null,2026-04
CL-French Terry Reflective Jogger,Adult,Pants,Solbiato Classic,95,null,2026-04
CL-SS Logo Polo,Adult,Polo,Solbiato Classic,115,null,2026-04
CL-Nylon Shorts,Adult,Shorts,Solbiato Classic,85,null,2026-04
Waa Pants,Adult,Pants,Solbiato Sport,62.5,null,2026-04
Supp Jacket,Adult,Jacket,Solbiato Sport,89,null,2026-04
Aura Hoodie,Adult,Hoodie,Solbiato Sport,69,null,2026-04
Aroma Shorts,Adult,Shorts,Solbiato Sport,59,null,2026-04
Kenya Shirt,Adult,T-Shirt,Solbiato Sport,101.25,null,2026-04
K-Monument Shorts,Kids,Shorts,Solbiato Kids,39,null,2026-04
K-Science Joggers,Kids,Pants,Solbiato Kids,57,null,2026-04
K-Teck Hoodie,Kids,Hoodie,Solbiato Kids,29,null,2026-04
K-Digits Joggers,Kids,Pants,Solbiato Kids,39,null,2026-04
K-Triangle Shirt,Kids,T-Shirt,Solbiato Kids,29,null,2026-04
K-Vertex Shorts,Kids,Shorts,Solbiato Kids,39,null,2026-04
K-Text Shorts,Kids,Shorts,Solbiato Kids,39,null,2026-04
Classic Skull,Accessories,Skull Cap,Solbiato Sport,55,null,2026-04
Nairobi Skull Cap,Accessories,Skull Cap,Solbiato Sport,55,null,2026-04
Solbiato Band,Accessories,Headband,Solbiato Sport,25,null,2026-04
Solbiato Final Headband,Accessories,Headband,Solbiato Sport,20,null,2026-04
