product_name,category,description_raw,url
SL-NIVA,Sport-Tops,Cotton Lycra Short Sleeve Polo,https://solbiatosport.com/product/sl-niva/
GULF,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/gulf/
JETTA,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/jetta/
WARD,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/ward/
KOOSHA,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/koosha/
OCEAN,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/ocean/
PATHFINDER,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/pathfinder/
HADIS,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/hadis/
ARCHIVE,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/archive/
TOORA,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/toora/
TITANIC,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/titanic/
MAANI,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/maani/
AFAT,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/afat/
SUNSET,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/sunset/
VOICE,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/voice/
TUNNEL,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/tunnel/
SHOOKA,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/shooka/
BLOSSOM,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/blossom/
FRAME,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/frame/
STAMP,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/stamp/
AJAR,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/ajar/
RIAAZ,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/riaaz/
MAYOR,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/mayor/
THROW,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/throw/
ZEPHYR,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/zephyr/
KNIGHT,Sport-Tops,Stretch Nylon Full-Zip Jacket,https://solbiatosport.com/product/knight/
KENYA,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/kenya/
CAPITOL,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/capitol/
DERRI,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/derri/
PATACK,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/patack/
ARIZONA,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/arizona/
CL-HB HOODIE B/W,Sport-Tops,HB Fabric Oversized Hoodie,https://solbiatosport.com/product/cl-hb-hoodie-b-w/
CL-HB HOODIE COLORS,Sport-Tops,HB Fabric Oversized Hoodie,https://solbiatosport.com/product/cl-hb-hoodie-colors/
CL-SLIPPY BULL TEE,Sport-Tops,Slippy Fabric Short Sleeve T-Shirt,https://solbiatosport.com/product/cl-slippy-bull-tee/
CL-Hoodie Tee,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/cl-hoodie-tee/
CL-Cotton Lycra Tee,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/cl-cotton-lycra-tee/
CL-Slippy Fabric Tee,Sport-Tops,Slippy Short Sleeve T-Shirt,https://solbiatosport.com/product/cl-slippy-fabric-tee/
CL-ROCKY COLORS,Sport-Tops,French Terry Zip-Neck Sweat Top,https://solbiatosport.com/product/cl-rocky-colors/
DUNK,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/dunk/
EBBI,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/ebbi/
WINTER,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/winter/
MASOO,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/masoo/
NILOO,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/niloo/
PARWA,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/parwa/
DONYA,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/donya/
FILM,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/film/
FEEFEE,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/feefee/
QUICK,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/quick/
HELI,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/heli/
SEMI,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/semi/
MILLION,Sport-Tops,Techno Fabric Hoodie Sweat Top,https://solbiatosport.com/product/million/
SENIN,Sport-Tops,Techno Fabric Hoodie Sweat Top,https://solbiatosport.com/product/senin/
NANOMI,Sport-Tops,Regular Fleece Hoodie Sweat Top,https://solbiatosport.com/product/nanomi/
MELLI,Sport-Tops,HB Fabric Hoodie Sweat Top,https://solbiatosport.com/product/melli/
OMRESH,Sport-Tops,HB Fabric Hoodie Sweat Top,https://solbiatosport.com/product/omresh/
VALED,Sport-Tops,HB Fabric Hoodie Sweat Top,https://solbiatosport.com/product/valed/
DELLA,Sport-Tops,Noah Fabric Hoodie Sweat Top,https://solbiatosport.com/product/della/
POSHT,Sport-Tops,Stretch Nylon Hoodie Pullover,https://solbiatosport.com/product/posht/
SOORA,Sport-Tops,Heavy Nylon Full-Zip Hoodie,https://solbiatosport.com/product/soora/
SMOKEY,Sport-Tops,Heavy Nylon Hoodie Pullover,https://solbiatosport.com/product/smokey/
QASHGAI,Sport-Tops,Nylon Jacket / Vest w/ Removable Sleeves,https://solbiatosport.com/product/qashgai/
FICO,Sport-Tops,Heavy Nylon Trench Jacket,https://solbiatosport.com/product/fico/
SL-CONCERT,Sport-Tops,Cotton Lycra Short Sleeve Polo,https://solbiatosport.com/product/sl-concert/
ROCKY REFLECTIVE,Sport-Tops,French Terry Zip-Neck Sweat Top,https://solbiatosport.com/product/rocky-reflective/
CL-French Terry Hoodie Colors,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/cl-hoodie-colors/
CL-French Terry Hoodie Reflective,Sport-Tops,French Terry Hoodie Sweat Top,https://solbiatosport.com/product/cl-f-t-hoody-reflective/
CL-French Terry Crewneck Sweat Top,Sport-Tops,French Terry Crewneck Sweat Top,https://solbiatosport.com/product/cl-crew-swt-top/
BAROON,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/baroon/
BLENDER,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/blender/
BAY BRIDGE,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/bay-bridge/
GOOSE,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/goose/
TABEAD (Full-Zip),Sport-Tops,Cotton Lycra Full-Zip Hoodie T-Shirt with Removable Sleeve,https://solbiatosport.com/product/tabead-full-zip/
ELITE,Sport-Tops,Lightweight Stretch Nylon Full-Zip Jacket,https://solbiatosport.com/product/elite/
HITTS,Sport-Tops,Lightweight Stretch Nylon Full-Zip Jacket,https://solbiatosport.com/product/hitts/
EXIT,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/exit/
ABJAD,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/abjad/
FARYAD,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/faryad/
DEECEE,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/deecee/
SEDAA,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/sedaa/
CARDINAL,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/cardinal/
DAVAR,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/davar/
SL-MAAR,Sport-Tops,Cotton Lycra Short Sleeve Polo,https://solbiatosport.com/product/sl-maar/
CONDO,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/condo/
BLEACHY,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/bleachy/
J.B.,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/j-b/
TRAVERSE,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/traverse/
PARTICULAR,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/particular/
LOWW,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/loww/
LAPORTA,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/laporta/
KOOO,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/kooo/
SHOKO,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/shoko/
SMILEY,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/smiley/
KAVIR,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/kavir/
SPENCER,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/spencer/
SANDAL,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/sandal/
AURA,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/aura/
SL-OAK,Sport-Tops,Cotton Lycra Short Sleeve Polo,https://solbiatosport.com/product/sl-oak/
HOWEY,Sport-Tops,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/howey/
KINDER,Sport-Tops,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/kinder/
SL-BAZAR,Sport-Tops,Cotton Lycra Short Sleeve Polo,https://solbiatosport.com/product/sl-bazar/
SL-DIAMO,Sport-Tops,Cotton Lycra Short Sleeve Polo,https://solbiatosport.com/product/sl-diamo/
